lr-AdamW,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch
0.001,0,,,,,
0.000999990327819507,14,,,,,
0.00099996131165987,28,,,,,
0.0009999129526665964,42,,,,,
,49,5.3763628005981445,0.08687499165534973,0.22296874225139618,92.80999755859375,3
0.000999845252748817,56,,,,,
0.0009997582145792085,70,,,,,
0.0009996518415938888,84,,,,,
0.0009995261379922812,98,,,,,
,99,4.5176682472229,0.22437499463558197,0.41187500953674316,49.764060974121094,7
0.0009993811087369486,112,,,,,
0.0009992167595533979,126,,,,,
0.0009990330969298531,140,,,,,
,149,4.391660690307617,0.23109374940395355,0.39671874046325684,49.213905334472656,10
0.0009988301281170003,154,,,,,
0.0009986078611277007,168,,,,,
0.0009983663047366746,182,,,,,
0.0009981054684801546,196,,,,,
,199,3.7083940505981445,0.33562496304512024,0.5279687643051147,28.59765625,14
0.0009978253626555093,210,,,,,
0.0009975259983208372,224,,,,,
0.0009972073872945295,238,,,,,
,249,2.8727173805236816,0.4690624475479126,0.6692187786102295,16.365781784057617,17
0.0009968695421548042,252,,,,,
0.0009965124762392086,266,,,,,
0.000996136203644094,280,,,,,
0.000995740739224058,294,,,,,
,299,2.442894697189331,0.5223436951637268,0.7451562881469727,12.186561584472656,21
0.0009953260985913588,308,,,,,
0.0009948922981152985,322,,,,,
0.0009944393549215773,336,,,,,
,349,1.8965623378753662,0.6504687666893005,0.8381249904632568,7.922812461853027,24
0.000993967286891617,350,,,,,
0.0009934761126618548,364,,,,,
0.0009929658516230086,378,,,,,
0.0009924365239193102,392,,,,,
,399,1.864841103553772,0.64453125,0.8387500047683716,7.643906116485596,28
0.0009918881504477112,406,,,,,
0.000991320752857057,420,,,,,
0.0009907343535472332,434,,,,,
0.0009901289756682806,448,,,,,
,449,1.5432772636413574,0.7220311760902405,0.8899999856948853,6.430781364440918,32
0.0009895046431194808,462,,,,,
0.0009888613805484143,476,,,,,
0.0009881992133499856,490,,,,,
,499,1.378909945487976,0.7673438191413879,0.9115625619888306,5.616093635559082,35
0.000987518167665422,504,,,,,
0.0009868182703812413,518,,,,,
0.0009860995491281894,532,,,,,
0.0009853620322801508,546,,,,,
,549,1.309343934059143,0.7778124213218689,0.9201561808586121,4.500781059265137,39
0.0009846057489530282,560,,,,,
0.000983830729003592,574,,,,,
0.000983037003028303,588,,,,,
,599,1.130568504333496,0.8160937428474426,0.9434374570846558,2.801406145095825,42
0.0009822246023621036,602,,,,,
0.000981393559077181,616,,,,,
0.0009805439059817009,630,,,,,
0.000979675676618513,644,,,,,
,649,1.1028255224227905,0.8306249380111694,0.9367187023162842,3.620468854904175,46
0.0009787889052638257,658,,,,,
0.0009778836269258538,672,,,,,
0.0009769598773434359,686,,,,,
,699,1.0353702306747437,0.8470312356948853,0.9501562118530273,2.884843349456787,49
0.0009760176929846239,700,,,,,
0.000975057111045243,714,,,,,
0.0009740781694474232,728,,,,,
0.0009730809068381028,742,,,,,
,749,0.9846011996269226,0.8559374809265137,0.9548436999320984,2.3609373569488525,53
0.0009720653625875022,756,,,,,
0.0009710315767875691,770,,,,,
0.0009699795902503969,784,,,,,
0.0009689094445066128,798,,,,,
