lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,147,0.826452910900116,0.2744336426258087,0.6837234497070312,1.0580782890319824,0,,,,,,,,
,147,,,,,0,0.8577604293823242,0.17366033792495728,0.5240238904953003,{'loss': 0.7393604516983032},,,,
0.001,148,,,,,,,,,,,,,
,295,0.8893787860870361,0.27508091926574707,0.6254763007164001,1.2736234664916992,1,,,,,,,,
,295,,,,,1,0.8735021948814392,0.24390244483947754,0.5906854867935181,{'loss': 0.7328675985336304},,,,
0.001,296,,,,,,,,,,,,,
,443,0.8535070419311523,0.260841429233551,0.6929776668548584,1.0122647285461426,2,,,,,,,,
,443,,,,,2,0.8695651888847351,0.26806461811065674,0.6073260307312012,{'loss': 0.7228793501853943},,,,
0.001,444,,,,,,,,,,,,,
,591,0.9464929699897766,0.18446601927280426,0.5253130197525024,1.4928271770477295,3,,,,,,,,
,591,,,,,3,0.8719947338104248,0.2840312421321869,0.61747145652771,{'loss': 0.6864818334579468},,,,
0.001,592,,,,,,,,,,,,,
,739,0.9208416938781738,0.14433656632900238,0.6439847350120544,1.1536178588867188,4,,,,,,,,
,739,,,,,4,0.8715803623199463,0.2966269850730896,0.6162376999855042,{'loss': 0.7440406084060669},,,,
0.001,740,,,,,,,,,,,,,
,887,0.9026052355766296,0.2213592231273651,0.6494284272193909,1.163182020187378,5,,,,,,,,
,887,,,,,5,0.8754225969314575,0.29461875557899475,0.6223688125610352,{'loss': 0.7011815309524536},,,,
0.001,888,,,,,,,,,,,,,
,1035,0.8913827538490295,0.30744338035583496,0.6200326681137085,1.2579456567764282,6,,,,,,,,
,1035,,,,,6,0.8751644492149353,0.3070262670516968,0.6241238713264465,{'loss': 0.749367356300354},,,,
0.001,1036,,,,,,,,,,,,,
,1183,0.8122244477272034,0.4867313802242279,0.6423516869544983,1.195269227027893,7,,,,,,,,
,1183,,,,,7,0.8745770454406738,0.3098211884498596,0.628843367099762,{'loss': 0.7138242721557617},,,,
0.001,1184,,,,,,,,,,,,,
,1331,0.8957915902137756,0.2977346181869507,0.6075122356414795,1.3094542026519775,8,,,,,,,,
,1331,,,,,8,0.8768789768218994,0.3141234815120697,0.632862389087677,{'loss': 0.5673809051513672},,,,
0.001,1332,,,,,,,,,,,,,
,1479,0.9316633343696594,0.1760517805814743,0.6102340817451477,1.249017596244812,9,,,,,,,,
,1479,,,,,9,0.8742365837097168,0.3171181380748749,0.6322898268699646,{'loss': 0.7084389925003052},,,,
0.001,1480,,,,,,,,,,,,,
,1627,0.8903807401657104,0.24724918603897095,0.6543276906013489,1.094811201095581,10,,,,,,,,
,1627,,,,,10,0.8740423917770386,0.32161587476730347,0.6285056471824646,{'loss': 0.7459101676940918},,,,
0.001,1628,,,,,,,,,,,,,
,1775,0.9094188213348389,0.21359223127365112,0.63364177942276,1.1868033409118652,11,,,,,,,,
,1775,,,,,11,0.8743128180503845,0.3233167827129364,0.6319371461868286,{'loss': 0.6872129440307617},,,,
0.001,1776,,,,,,,,,,,,,
,1923,0.9052104353904724,0.23948219418525696,0.6320087313652039,1.255965232849121,12,,,,,,,,
,1923,,,,,12,0.8742017149925232,0.3239176869392395,0.6336022019386292,{'loss': 0.6857618689537048},,,,
,1924,,,,,13,,,,,0.8410841822624207,0.2901715934276581,0.6659336090087891,0.6441181898117065
,1924,,,,,13,,,,,0.8535070419311523,0.260841429233551,0.6929776668548584,1.0122647285461426
,1924,,,,,13,,,,,0.7329545617103577,0.10096818953752518,0.7211625576019287,0.30175095796585083
