lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,0.9977186918258667,0.8169364929199219,0.6725000739097595,0.9926199316978455,0.6678634881973267,0.9417721033096313,0.8595951795578003,0.836065411567688,1.6133606433868408,0,,,,,,,,,,,,,,,,,,
,78,,,,,,,,,,0,0.9449000358581543,0.8449316620826721,0.6149957776069641,0.8273516297340393,0.8092595338821411,0.8942264914512634,0.8535651564598083,0.8453884124755859,{'loss': 0.2899053990840912},,,,,,,,,
0.001,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,0.9479088187217712,0.9573732018470764,0.7900000214576721,0.998420238494873,0.9452423453330994,0.8056617379188538,0.9194541573524475,0.9251395463943481,0.1025376245379448,1,,,,,,,,,,,,,,,,,,
,157,,,,,,,,,,1,0.9680837988853455,0.9219188690185547,0.8201852440834045,0.9236484169960022,0.907651960849762,0.9432163238525391,0.9272151589393616,0.9251794219017029,{'loss': 0.15385150909423828},,,,,,,,,
0.001,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,236,0.2612167298793793,1.0,0.9124999642372131,0.5925324559211731,0.9910234212875366,0.42057138681411743,0.5547975897789001,0.764536440372467,0.04021585360169411,2,,,,,,,,,,,,,,,,,,
,236,,,,,,,,,,2,0.9738168716430664,0.9385780692100525,0.8601036071777344,0.939143717288971,0.9286508560180664,0.9554954171180725,0.9426918625831604,0.9415055513381958,{'loss': 0.17091818153858185},,,,,,,,,
0.001,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,315,0.9844107031822205,0.9546460509300232,0.907500147819519,0.9784365892410278,0.9003590941429138,0.920183539390564,0.950264036655426,0.9497280716896057,0.1982472687959671,3,,,,,,,,,,,,,,,,,,
,315,,,,,,,,,,3,0.9760307669639587,0.9473334550857544,0.878367006778717,0.9423540830612183,0.9394856095314026,0.9613003134727478,0.9498615264892578,0.9492649435997009,{'loss': 0.11823069304227829},,,,,,,,,
0.001,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,394,0.9760456085205078,0.9461850523948669,0.8637499809265137,0.9843305349349976,0.9003590941429138,0.8883967995643616,0.9377201795578003,0.9373669624328613,0.2200595587491989,4,,,,,,,,,,,,,,,,,,
,394,,,,,,,,,,4,0.9784260988235474,0.9544506669044495,0.8982456922531128,0.9504008889198303,0.948764443397522,0.9679975509643555,0.95703125,0.9568473100662231,{'loss': 0.14685578644275665},,,,,,,,,
0.001,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,473,0.9422053694725037,0.9675908088684082,0.8974999785423279,0.8799019455909729,0.9272890686988831,0.8851756453514099,0.9306778311729431,0.9430646300315857,0.1609421819448471,5,,,,,,,,,,,,,,,,,,
