lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,1.0,0.6776991486549377,0.49531248211860657,0.9844721555709839,0.2312009185552597,1.0,0.7230768799781799,0.6782865524291992,3.6386542320251465,0,,,,,,,,,,,,,,,,,,
,62,,,,,,,,,,0,0.9270738959312439,0.802944540977478,0.44852423667907715,0.7195602655410767,0.7320277690887451,0.8074135780334473,0.7947668433189392,0.7835946083068848,{'loss': 0.3313296139240265},,,,,,,,,
0.001,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,0.9241346716880798,0.8673787117004395,0.5843749642372131,0.9946808218955994,0.8821548819541931,0.7728614211082458,0.8541207909584045,0.8518872261047363,0.16730162501335144,1,,,,,,,,,,,,,,,,,,
,125,,,,,,,,,,1,0.963704526424408,0.9093756079673767,0.7829456925392151,0.8966909050941467,0.8853164315223694,0.932036280632019,0.9126983284950256,0.9099365472793579,{'loss': 0.2198782116174698},,,,,,,,,
0.001,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,188,0.9099098443984985,0.9000939130783081,0.6890625357627869,0.9932432174682617,0.9236812591552734,0.7734962105751038,0.8744506239891052,0.882476806640625,0.21723070740699768,2,,,,,,,,,,,,,,,,,,
,188,,,,,,,,,,2,0.969450056552887,0.9253120422363281,0.8210767507553101,0.9219675660133362,0.9119282364845276,0.9438923597335815,0.929191529750824,0.9270996451377869,{'loss': 0.2131987363100052},,,,,,,,,
0.001,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,251,0.9279279112815857,0.947240948677063,0.8640624284744263,0.9667831659317017,0.9607182145118713,0.8542914390563965,0.9247254133224487,0.93701171875,0.10269542038440704,3,,,,,,,,,,,,,,,,,,
,251,,,,,,,,,,3,0.974115788936615,0.9375869035720825,0.849596381187439,0.9332947731018066,0.9312485456466675,0.9574328660964966,0.9416232705116272,0.9399184584617615,{'loss': 0.19440491497516632},,,,,,,,,
0.001,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
