lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,79,0.9411764740943909,0.5179542899131775,0.7614942789077759,1.3186988830566406,0,,,,,,,,
,79,,,,,0,0.7516454458236694,0.7307635545730591,0.7700814604759216,{'loss': 0.30692237615585327},,,,
0.001,80,,,,,,,,,,,,,
,159,0.9524886608123779,0.8171926140785217,0.8252873420715332,0.6090072989463806,1,,,,,,,,
,159,,,,,1,0.9160573482513428,0.8790072202682495,0.9121198654174805,{'loss': 0.22397515177726746},,,,
0.001,160,,,,,,,,,,,,,
,239,0.9983031749725342,0.6218715906143188,0.504023015499115,1.6752848625183105,2,,,,,,,,
,239,,,,,2,0.9225372672080994,0.8922191262245178,0.9313911199569702,{'loss': 0.19340920448303223},,,,
0.001,240,,,,,,,,,,,,,
,319,0.6470588445663452,0.9461371302604675,0.9189655184745789,0.1565900593996048,3,,,,,,,,
,319,,,,,3,0.9440385699272156,0.9165312647819519,0.9462647438049316,{'loss': 0.19383856654167175},,,,
0.001,320,,,,,,,,,,,,,
,399,0.9547511339187622,0.8112078309059143,0.9195402264595032,0.8773692846298218,4,,,,,,,,
,399,,,,,4,0.9532163739204407,0.9326440095901489,0.9551674127578735,{'loss': 0.14113566279411316},,,,
0.001,400,,,,,,,,,,,,,
,479,0.9700226187705994,0.8019586801528931,0.3086206912994385,1.0434086322784424,5,,,,,,,,
,479,,,,,5,0.9614148139953613,0.9388749599456787,0.9653313755989075,{'loss': 0.17372038960456848},,,,
0.001,480,,,,,,,,,,,,,
,559,0.9751130938529968,0.8471164107322693,0.5431034564971924,0.5398114919662476,6,,,,,,,,
,559,,,,,6,0.959520697593689,0.9465367197990417,0.9697058200836182,{'loss': 0.16067908704280853},,,,
0.001,560,,,,,,,,,,,,,
,639,0.7714931964874268,0.8035908341407776,0.9862068891525269,0.8311382532119751,7,,,,,,,,
,639,,,,,7,0.9679731130599976,0.9506865739822388,0.9721938967704773,{'loss': 0.07920180261135101},,,,
0.001,640,,,,,,,,,,,,,
,719,0.8840497732162476,0.8857453465461731,0.9545977115631104,0.25787627696990967,8,,,,,,,,
,719,,,,,8,0.969001293182373,0.9592379331588745,0.9796215295791626,{'loss': 0.11927373707294464},,,,
0.001,720,,,,,,,,,,,,,
,799,0.9502262473106384,0.818824827671051,0.9011494517326355,0.7984774112701416,9,,,,,,,,
,799,,,,,9,0.9717795252799988,0.9620271921157837,0.9805034399032593,{'loss': 0.0811762660741806},,,,
0.001,800,,,,,,,,,,,,,
,879,0.6210407018661499,0.9613710641860962,0.9206896424293518,0.16862230002880096,10,,,,,,,,
,879,,,,,10,0.9770333766937256,0.9713653326034546,0.9839860200881958,{'loss': 0.0950511246919632},,,,
0.001,880,,,,,,,,,,,,,
,959,0.5,0.9727964997291565,0.863218367099762,0.06373601406812668,11,,,,,,,,
,959,,,,,11,0.9792397618293762,0.975199282169342,0.9868919253349304,{'loss': 0.03633697330951691},,,,
0.001,960,,,,,,,,,,,,,
,1039,0.6770362257957458,0.9657236337661743,0.8712643384933472,0.0705287754535675,12,,,,,,,,
,1039,,,,,12,0.9808423519134521,0.9779911637306213,0.9912689328193665,{'loss': 0.12497620284557343},,,,
0.001,1040,,,,,,,,,,,,,
,1119,0.9813348650932312,0.762241542339325,0.8034482598304749,0.9401851892471313,13,,,,,,,,
,1119,,,,,13,0.9813002347946167,0.9807976484298706,0.9883466958999634,{'loss': 0.08768299967050552},,,,
0.001,1120,,,,,,,,,,,,,
,1199,0.9530543088912964,0.8253536224365234,0.9137930870056152,1.0402978658676147,14,,,,,,,,
,1199,,,,,14,0.9839251637458801,0.9818235635757446,0.9896652102470398,{'loss': 0.0699331983923912},,,,
0.001,1200,,,,,,,,,,,,,
,1279,0.9604072570800781,0.8329706192016602,0.8436781764030457,1.0871460437774658,15,,,,,,,,
,1279,,,,,15,0.9884486198425293,0.9856762886047363,0.992720901966095,{'loss': 0.16674765944480896},,,,
0.001,1280,,,,,,,,,,,,,
,1359,0.9847285151481628,0.8155604004859924,0.75,1.0766901969909668,16,,,,,,,,
,1359,,,,,16,0.9831920266151428,0.9847768545150757,0.9924330711364746,{'loss': 0.02557644434273243},,,,
0.001,1360,,,,,,,,,,,,,
,1439,0.8789592981338501,0.9232861995697021,0.8580459952354431,0.47316062450408936,17,,,,,,,,
