lr-AdamW,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch
0.001,0,,,,,
,0,6.438761234283447,0.2267187386751175,0.3137499988079071,181.3340606689453,0
,1,6.362506866455078,0.3103124797344208,0.4099999964237213,130.64608764648438,0
,2,5.877192974090576,0.23718750476837158,0.34546875953674316,113.81046295166016,0
,3,5.422454357147217,0.19453126192092896,0.3190624713897705,89.88203430175781,0
,4,5.173571586608887,0.2679687440395355,0.426093727350235,74.17078399658203,0
,5,4.754080772399902,0.29515624046325684,0.4723437428474426,52.14921951293945,0
,6,4.608599662780762,0.32328125834465027,0.49453121423721313,52.81593322753906,0
,7,4.333480358123779,0.3204687833786011,0.4920312464237213,41.61609649658203,0
,8,3.9698710441589355,0.37406250834465027,0.5546875,31.48984146118164,0
,9,3.723146438598633,0.4587499499320984,0.6371874809265137,26.359844207763672,0
,10,3.5876760482788086,0.48359376192092896,0.66468745470047,24.344528198242188,0
,11,3.389683246612549,0.5109374523162842,0.6867187023162842,21.497032165527344,0
,12,3.248900890350342,0.5293750166893005,0.7079687714576721,16.127342224121094,0
,13,3.140035629272461,0.5392187237739563,0.7223437428474426,14.358436584472656,0
0.000999990327819507,14,,,,,
,14,3.056157350540161,0.5703125,0.7337499856948853,14.686248779296875,1
,15,2.9498841762542725,0.6003124117851257,0.7562500238418579,12.939687728881836,1
,16,2.833794116973877,0.6265624761581421,0.7707811594009399,10.987655639648438,1
,17,2.7214393615722656,0.660937488079071,0.7932811975479126,9.109843254089355,1
,18,2.7703237533569336,0.6607812643051147,0.7735937833786011,12.412812232971191,1
,19,2.673030376434326,0.6625000238418579,0.7828124761581421,9.549842834472656,1
,20,2.536527633666992,0.6793749332427979,0.8046874403953552,8.435625076293945,1
,21,2.5401289463043213,0.6778124570846558,0.7848437428474426,9.553125381469727,1
,22,2.390273332595825,0.6979687213897705,0.8171875476837158,7.554374694824219,1
,23,2.2240467071533203,0.739687442779541,0.8495312929153442,6.146093845367432,1
,24,2.2741851806640625,0.7276562452316284,0.8223437070846558,7.570312023162842,1
,25,2.0750467777252197,0.7662500143051147,0.8706250190734863,5.651249885559082,1
,26,2.140650749206543,0.7278124690055847,0.8335937261581421,6.396718502044678,1
,27,1.9607056379318237,0.7671874761581421,0.8570312261581421,5.507499694824219,1
0.00099996131165987,28,,,,,
,28,1.9746029376983643,0.7464061975479126,0.8479686975479126,5.777030944824219,2
,29,1.8755340576171875,0.7590624690055847,0.8615624904632568,4.841406345367432,2
,30,1.7560893297195435,0.7721874713897705,0.8757812976837158,4.394843578338623,2
,31,1.7230663299560547,0.7849999666213989,0.87828129529953,4.686718463897705,2
,32,1.6666128635406494,0.7809374928474426,0.8804687857627869,4.058125019073486,2
,33,1.6614696979522705,0.7776561975479126,0.8714061379432678,4.82156229019165,2
,34,1.509285807609558,0.8057812452316284,0.8954687118530273,4.135624885559082,2
,35,1.5000526905059814,0.8073437213897705,0.9021874666213989,4.342812538146973,2
,36,1.3651669025421143,0.8281249403953552,0.9240624904632568,3.6262500286102295,2
,37,1.2996876239776611,0.8271874189376831,0.9199999570846558,3.903437614440918,2
,38,1.2002313137054443,0.8420311808586121,0.93031245470047,2.530937671661377,2
,39,1.218860387802124,0.8367186784744263,0.9203125238418579,3.1145310401916504,2
,40,1.250407099723816,0.8148437142372131,0.9145312309265137,3.487187385559082,2
,41,1.1346707344055176,0.8545311689376831,0.9373437762260437,3.319531202316284,2
0.0009999129526665964,42,,,,,
