lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.9150943160057068,0.691868782043457,0.0,0.0,0.6801801323890686,0.7156398296356201,0.6973685026168823,0.6571455001831055,4.284934043884277,0,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,0,0.9202699661254883,0.6731986403465271,0.024255024269223213,0.15283842384815216,0.5542828440666199,0.7510122060775757,0.6727294921875,0.6327762603759766,{'loss': 0.6592091917991638},,,,,,,,,
0.001,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,0.9886792898178101,0.6313253045082092,0.0,0.0,0.3378378748893738,0.9146341681480408,0.6567983031272888,0.5858874917030334,5.522104263305664,1,,,,,,,,,,,,,,,,,,
,31,,,,,,,,,,1,0.9704703688621521,0.7371035218238831,0.020110957324504852,0.5799999833106995,0.7640618085861206,0.807894766330719,0.7525634765625,0.7028307914733887,{'loss': 0.5723456740379333},,,,,,,,,
0.001,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,0.9849056601524353,0.7102040648460388,0.10624999552965164,0.8947368264198303,0.6396396160125732,0.8987341523170471,0.7467105388641357,0.6912260055541992,2.679600477218628,2,,,,,,,,,,,,,,,,,,
,47,,,,,,,,,,2,0.9345577955245972,0.8170911073684692,0.41828253865242004,0.5933203101158142,0.7747388482093811,0.8872437477111816,0.8043212890625,0.7912272810935974,{'loss': 0.4863361418247223},,,,,,,,,
0.001,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,0.9245282411575317,0.8019639253616333,0.3187499940395355,0.8793104887008667,0.8198198676109314,0.7489711046218872,0.7927631735801697,0.7747716903686523,1.2585790157318115,3,,,,,,,,,,,,,,,,,,
,63,,,,,,,,,,3,0.9425917267799377,0.8626617789268494,0.604152262210846,0.7604529857635498,0.8362369537353516,0.8998393416404724,0.8568115234375,0.8510217070579529,{'loss': 0.42624858021736145},,,,,,,,,
0.001,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,0.9773584604263306,0.7662721276283264,0.33124998211860657,0.946428656578064,0.7477477788925171,0.9222221970558167,0.8081140518188477,0.7697439789772034,1.3600053787231445,4,,,,,,,,,,,,,,,,,,
,79,,,,,,,,,,4,0.9539986848831177,0.8687548041343689,0.6371191143989563,0.8206958174705505,0.8631159067153931,0.9287627935409546,0.8758544921875,0.8675228357315063,{'loss': 0.3656824231147766},,,,,,,,,
0.001,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,0.9433961510658264,0.813008189201355,0.550000011920929,0.7719298005104065,0.7657657265663147,0.9289617538452148,0.831140398979187,0.8174499869346619,0.9180399179458618,5,,,,,,,,,,,,,,,,,,
,95,,,,,,,,,,5,0.9632911682128906,0.8818076848983765,0.6507276892662048,0.8497738242149353,0.8909906148910522,0.9376636147499084,0.8905029296875,0.8806463479995728,{'loss': 0.311527281999588},,,,,,,,,
0.001,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,0.9018868803977966,0.9035916924476624,0.7562499642372131,0.7756410241127014,0.8873873353004456,0.867841362953186,0.8728070259094238,0.886999249458313,0.39081424474716187,6,,,,,,,,,,,,,,,,,,
,111,,,,,,,,,,6,0.9662446975708008,0.8940075635910034,0.7018030881881714,0.8861646056175232,0.9004974961280823,0.9392838478088379,0.903564453125,0.8955098390579224,{'loss': 0.2596656084060669},,,,,,,,,
0.001,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,0.8698111772537231,0.8848367929458618,0.7125000357627869,0.7702702879905701,0.8828829526901245,0.806584358215332,0.8453946709632874,0.8657995462417603,0.40609297156333923,7,,,,,,,,,,,,,,,,,,
,127,,,,,,,,,,7,0.9656046628952026,0.9091992974281311,0.7541550993919373,0.8985148072242737,0.9238427877426147,0.9532614350318909,0.9180908203125,0.9130515456199646,{'loss': 0.2563575506210327},,,,,,,,,
0.001,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,0.7339621782302856,0.892201840877533,0.5062499642372131,0.8804348707199097,0.9549550414085388,0.5520833134651184,0.7478070259094238,0.8013712167739868,0.7098909616470337,8,,,,,,,,,,,,,,,,,,
,143,,,,,,,,,,8,0.9721401929855347,0.9206476211547852,0.7721605896949768,0.8927140831947327,0.927860677242279,0.961340069770813,0.926025390625,0.920872151851654,{'loss': 0.17166085541248322},,,,,,,,,
0.001,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,159,0.9547170400619507,0.8322368264198303,0.612500011920929,0.6282051205635071,0.6441441178321838,0.9662161469459534,0.8190789222717285,0.809995174407959,1.2833203077316284,9,,,,,,,,,,,,,,,,,,
,159,,,,,,,,,,9,0.9736232161521912,0.9278101921081543,0.7846260666847229,0.903508722782135,0.952712893486023,0.9740458130836487,0.9351806640625,0.9301357269287109,{'loss': 0.23210349678993225},,,,,,,,,
0.001,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,0.9773584604263306,0.8093749284744263,0.5250000357627869,0.9230769872665405,0.7747747898101807,0.9502763152122498,0.8486842513084412,0.8225683569908142,1.6002835035324097,10,,,,,,,,,,,,,,,,,,
,175,,,,,,,,,,10,0.9715250730514526,0.9340904951095581,0.8058252334594727,0.8993807435035706,0.9532104730606079,0.9725748300552368,0.9378662109375,0.9347320795059204,{'loss': 0.20506992936134338},,,,,,,,,
0.001,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,191,0.9773584604263306,0.8018575310707092,0.34999996423721313,0.9655171632766724,0.8603602647781372,0.9182692170143127,0.8388157486915588,0.8042239546775818,1.6645805835723877,11,,,,,,,,,,,,,,,,,,
,191,,,,,,,,,,11,0.9770041704177856,0.9458741545677185,0.8586278557777405,0.9301801323890686,0.9571925401687622,0.9791241884231567,0.9512939453125,0.949274480342865,{'loss': 0.13222342729568481},,,,,,,,,
0.001,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,0.9056605100631714,0.8791208863258362,0.7624999284744263,0.6489362120628357,0.7657657265663147,0.9550561904907227,0.846491277217865,0.8602985739707947,0.9567453861236572,12,,,,,,,,,,,,,,,,,,
,207,,,,,,,,,,12,0.9761604070663452,0.9467974901199341,0.8546713590621948,0.9244012236595154,0.961135983467102,0.9796851873397827,0.9510498046875,0.9492020010948181,{'loss': 0.16420219838619232},,,,,,,,,
0.001,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,223,0.3113207519054413,0.9537572264671326,0.65625,0.5276381969451904,0.9819821119308472,0.4037036895751953,0.5350876450538635,0.7228240370750427,0.9686824083328247,13,,,,,,,,,,,,,,,,,,
,223,,,,,,,,,,13,0.9799536466598511,0.9612917304039001,0.8892732858657837,0.9264599084854126,0.9646415114402771,0.981256365776062,0.960205078125,0.9597687125205994,{'loss': 0.1480700969696045},,,,,,,,,
0.001,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,239,0.9301886558532715,0.872566282749176,0.6999999284744263,0.7368420958518982,0.8423423171043396,0.9589743614196777,0.8684210777282715,0.8698773384094238,1.0044411420822144,14,,,,,,,,,,,,,,,,,,
