lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,89,0.4590570628643036,0.5494917035102844,0.742093563079834,0.6005908250808716,0,,,,,,,,
,89,,,,,0,0.5030303001403809,0.5050097107887268,0.7129660248756409,{'loss': 0.8462569713592529},,,,
0.001,90,,,,,,,,,,,,,
,179,0.5775434374809265,0.4628143310546875,0.7358574867248535,0.5495635271072388,1,,,,,,,,
,179,,,,,1,0.5466060638427734,0.597757875919342,0.7402883172035217,{'loss': 0.754820704460144},,,,
0.001,180,,,,,,,,,,,,,
,269,0.48325061798095703,0.5735687613487244,0.7670378684997559,0.5813249349594116,2,,,,,,,,
,269,,,,,2,0.5672997236251831,0.6075381636619568,0.7457086443901062,{'loss': 0.7399191856384277},,,,
0.001,270,,,,,,,,,,,,,
,359,0.45533499121665955,0.617977499961853,0.7630289793014526,0.5885899662971497,3,,,,,,,,
,359,,,,,3,0.5807872414588928,0.6241962313652039,0.7444701194763184,{'loss': 0.7552547454833984},,,,
0.001,360,,,,,,,,,,,,,
,449,0.49689826369285583,0.5494917035102844,0.7608017921447754,0.5431451797485352,4,,,,,,,,
,449,,,,,4,0.5814850330352783,0.622328519821167,0.7458745837211609,{'loss': 0.7938518524169922},,,,
0.001,450,,,,,,,,,,,,,
,539,0.42741936445236206,0.6222578883171082,0.7839643359184265,0.5524778366088867,5,,,,,,,,
,539,,,,,5,0.5905338525772095,0.6349917650222778,0.747549295425415,{'loss': 0.721773624420166},,,,
0.001,540,,,,,,,,,,,,,
,629,0.47580644488334656,0.550561785697937,0.7915367484092712,0.4895119071006775,6,,,,,,,,
,629,,,,,6,0.5841720700263977,0.6382216811180115,0.7488991618156433,{'loss': 0.796425461769104},,,,
0.001,630,,,,,,,,,,,,,
,719,0.673697292804718,0.505082905292511,0.6815145015716553,0.6376701593399048,7,,,,,,,,
,719,,,,,7,0.594154953956604,0.6375317573547363,0.7456284761428833,{'loss': 0.7272878885269165},,,,
0.001,720,,,,,,,,,,,,,
,809,0.553970217704773,0.5607276558876038,0.7452116012573242,0.5637043714523315,8,,,,,,,,
,809,,,,,8,0.5947063565254211,0.6396773457527161,0.7514298558235168,{'loss': 0.7463987469673157},,,,
0.001,810,,,,,,,,,,,,,
,899,0.49441686272621155,0.5981808304786682,0.7536748051643372,0.555171012878418,9,,,,,,,,
,899,,,,,9,0.603277325630188,0.6363500356674194,0.746728241443634,{'loss': 0.72304368019104},,,,
0.001,900,,,,,,,,,,,,,
,989,0.6823821067810059,0.5082932114601135,0.6677060127258301,0.6703189611434937,10,,,,,,,,
,989,,,,,10,0.6021445989608765,0.6462320685386658,0.7519277334213257,{'loss': 0.7504596710205078},,,,
0.001,990,,,,,,,,,,,,,
,1079,0.4975185990333557,0.6431246399879456,0.732293963432312,0.6175711154937744,11,,,,,,,,
,1079,,,,,11,0.5998896956443787,0.6450552940368652,0.7494776248931885,{'loss': 0.8638784885406494},,,,
0.001,1080,,,,,,,,,,,,,
,1169,0.49379652738571167,0.6623862981796265,0.7260578870773315,0.6240084171295166,12,,,,,,,,
,1169,,,,,12,0.6021772027015686,0.6427184343338013,0.7487896084785461,{'loss': 0.7633528709411621},,,,
0.001,1170,,,,,,,,,,,,,
,1259,0.5700992345809937,0.5452113151550293,0.7501113414764404,0.5601358413696289,13,,,,,,,,
,1259,,,,,13,0.6081565022468567,0.6462045311927795,0.7474458813667297,{'loss': 0.7234017252922058},,,,
0.001,1260,,,,,,,,,,,,,
,1349,0.5117865800857544,0.6570358276367188,0.7233852744102478,0.6428110599517822,14,,,,,,,,
,1349,,,,,14,0.608749508857727,0.6455904245376587,0.7472745180130005,{'loss': 0.681492030620575},,,,
0.001,1350,,,,,,,,,,,,,
,1439,0.44168734550476074,0.5976458191871643,0.8013362884521484,0.4852742850780487,15,,,,,,,,
,1439,,,,,15,0.6099876165390015,0.6498578190803528,0.7504401206970215,{'loss': 0.7253784537315369},,,,
0.001,1440,,,,,,,,,,,,,
,1529,0.5638957619667053,0.6575708985328674,0.6766147017478943,0.7243574857711792,16,,,,,,,,
,1529,,,,,16,0.6073247790336609,0.6540185213088989,0.7520642876625061,{'loss': 0.7428597211837769},,,,
0.001,1530,,,,,,,,,,,,,
,1619,0.5924317836761475,0.4826110303401947,0.7750557065010071,0.4830261468887329,17,,,,,,,,
,1619,,,,,17,0.6147496104240417,0.6561939120292664,0.7503300905227661,{'loss': 0.7153022289276123},,,,
0.001,1620,,,,,,,,,,,,,
,1709,0.39143919944763184,0.5901551842689514,0.8173719644546509,0.4409709870815277,18,,,,,,,,
,1709,,,,,18,0.6123742461204529,0.6426008939743042,0.7520070672035217,{'loss': 0.7067310810089111},,,,
0.001,1710,,,,,,,,,,,,,
,1799,0.6519851088523865,0.483146071434021,0.7349665760993958,0.5488179922103882,19,,,,,,,,
,1799,,,,,19,0.6096720695495605,0.6513019800186157,0.7516483664512634,{'loss': 0.7212097644805908},,,,
0.001,1800,,,,,,,,,,,,,
,1889,0.6259305477142334,0.5307651162147522,0.7167037725448608,0.5845503807067871,20,,,,,,,,
,1889,,,,,20,0.6172584891319275,0.6469006538391113,0.7519550323486328,{'loss': 0.8232486248016357},,,,
0.001,1890,,,,,,,,,,,,,
,1979,0.5366004705429077,0.6072766184806824,0.74387526512146,0.5921028852462769,21,,,,,,,,
,1979,,,,,21,0.6081991791725159,0.6497682332992554,0.7493395209312439,{'loss': 0.7747734785079956},,,,
0.001,1980,,,,,,,,,,,,,
,2069,0.5942928194999695,0.5222043991088867,0.7447661757469177,0.5603808760643005,22,,,,,,,,
,2069,,,,,22,0.6098939180374146,0.652245283126831,0.7552863359451294,{'loss': 0.7466759085655212},,,,
0.001,2070,,,,,,,,,,,,,
,2159,0.6147642731666565,0.620117723941803,0.6979955434799194,0.6992648839950562,23,,,,,,,,
,2159,,,,,23,0.6153528094291687,0.6584964990615845,0.753766655921936,{'loss': 0.7265591025352478},,,,
0.001,2160,,,,,,,,,,,,,
,2249,0.5421836376190186,0.6543605923652649,0.7100222706794739,0.6607784032821655,24,,,,,,,,
,2249,,,,,24,0.6225584745407104,0.6558946967124939,0.7537970542907715,{'loss': 0.7235532999038696},,,,
0.001,2250,,,,,,,,,,,,,
,2339,0.5415632724761963,0.6233279705047607,0.7251670360565186,0.6341779828071594,25,,,,,,,,
