lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,85,0.9148571491241455,0.7388466000556946,0.9161490797996521,1.198193073272705,0,,,,,,,,
,85,,,,,0,0.7707077860832214,0.7153241634368896,0.7957002520561218,{'loss': 0.3464947044849396},,,,
0.001,86,,,,,,,,,,,,,
,171,0.8914285898208618,0.8628944754600525,0.9136645793914795,0.6461759805679321,1,,,,,,,,
,171,,,,,1,0.9211815595626831,0.8728246092796326,0.9196318984031677,{'loss': 0.16675114631652832},,,,
0.001,172,,,,,,,,,,,,,
,257,0.984000027179718,0.7845484018325806,0.8447204828262329,1.0665680170059204,2,,,,,,,,
,257,,,,,2,0.9342105388641357,0.8998514413833618,0.938958466053009,{'loss': 0.2694520652294159},,,,
0.001,258,,,,,,,,,,,,,
,343,0.9594285488128662,0.8699673414230347,0.8006210923194885,0.6944081783294678,3,,,,,,,,
,343,,,,,3,0.9373159408569336,0.9060691595077515,0.9440215826034546,{'loss': 0.1251152753829956},,,,
0.001,344,,,,,,,,,,,,,
,429,0.5005714297294617,0.5288357138633728,0.9826086759567261,3.2556333541870117,4,,,,,,,,
,429,,,,,4,0.9502871036529541,0.9254639744758606,0.9552825689315796,{'loss': 0.11561430245637894},,,,
0.001,430,,,,,,,,,,,,,
,515,0.8771428465843201,0.6751904487609863,0.9795030951499939,2.105562686920166,5,,,,,,,,
,515,,,,,5,0.9512400031089783,0.9371564388275146,0.96195387840271,{'loss': 0.08904701471328735},,,,
0.001,516,,,,,,,,,,,,,
,601,0.9731428623199463,0.8656147718429565,0.7829192280769348,0.5820314884185791,6,,,,,,,,
,601,,,,,6,0.9613228440284729,0.937509298324585,0.9673339128494263,{'loss': 0.09472168982028961},,,,
0.001,602,,,,,,,,,,,,,
,687,0.9651428461074829,0.8302502632141113,0.9145962595939636,0.8810932636260986,7,,,,,,,,
,687,,,,,7,0.9626050591468811,0.9468369483947754,0.9710144996643066,{'loss': 0.09250733256340027},,,,
0.001,688,,,,,,,,,,,,,
,773,0.829714298248291,0.581066370010376,0.9801242351531982,2.846329689025879,8,,,,,,,,
,773,,,,,8,0.9697436690330505,0.9560374021530151,0.974950909614563,{'loss': 0.1290484070777893},,,,
0.001,774,,,,,,,,,,,,,
,859,0.99314284324646,0.6724700927734375,0.7192546725273132,2.259399890899658,9,,,,,,,,
,859,,,,,9,0.9688988327980042,0.9569541215896606,0.9778897166252136,{'loss': 0.11269163340330124},,,,
0.001,860,,,,,,,,,,,,,
,945,0.9599999785423279,0.8721436262130737,0.8807453513145447,0.8742110729217529,10,,,,,,,,
,945,,,,,10,0.9732380509376526,0.9627761840820312,0.9807030558586121,{'loss': 0.07861745357513428},,,,
0.001,946,,,,,,,,,,,,,
