lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,89,0.6412166357040405,0.5291599631309509,0.9799643754959106,0.9350603222846985,0,,,,,,,,
,89,,,,,0,0.7594709992408752,0.704423189163208,0.8195621371269226,{'loss': 0.24421724677085876},,,,
0.001,90,,,,,,,,,,,,,
,179,0.6722532510757446,0.8849652409553528,0.9755120277404785,0.12613420188426971,1,,,,,,,,
,179,,,,,1,0.9095290303230286,0.8601555228233337,0.9308183193206787,{'loss': 0.30050817131996155},,,,
0.001,180,,,,,,,,,,,,,
,269,0.8398510217666626,0.7554842233657837,0.9790738821029663,0.3756537437438965,2,,,,,,,,
,269,,,,,2,0.9258748888969421,0.8745139241218567,0.9422823190689087,{'loss': 0.21407729387283325},,,,
0.001,270,,,,,,,,,,,,,
,359,0.17690874636173248,0.9914392828941345,0.014692787081003189,0.1247139647603035,3,,,,,,,,
,359,,,,,3,0.9387221336364746,0.8970059752464294,0.9555946588516235,{'loss': 0.13192534446716309},,,,
0.001,360,,,,,,,,,,,,,
,449,0.4456859230995178,0.8223649263381958,0.9893143177032471,0.41327011585235596,4,,,,,,,,
,449,,,,,4,0.9440857172012329,0.9116634130477905,0.9616824388504028,{'loss': 0.14230689406394958},,,,
0.001,450,,,,,,,,,,,,,
,539,0.9348230957984924,0.9229534268379211,0.7960819005966187,0.07553637772798538,5,,,,,,,,
,539,,,,,5,0.9479768872261047,0.9258649349212646,0.968121349811554,{'loss': 0.11338202655315399},,,,
0.001,540,,,,,,,,,,,,,
,629,0.9435133337974548,0.932584285736084,0.8708815574645996,0.020445862784981728,6,,,,,,,,
,629,,,,,6,0.9591528177261353,0.9390809535980225,0.9717209339141846,{'loss': 0.13827791810035706},,,,
0.001,630,,,,,,,,,,,,,
,719,0.926753580570221,0.8555377125740051,0.918967068195343,0.19564314186573029,7,,,,,,,,
,719,,,,,7,0.9554578065872192,0.9398473501205444,0.9753385186195374,{'loss': 0.16044795513153076},,,,
0.001,720,,,,,,,,,,,,,
,809,0.9354438185691833,0.8929908871650696,0.8944790959358215,0.09793654084205627,8,,,,,,,,
,809,,,,,8,0.9664235711097717,0.9510008692741394,0.9787421226501465,{'loss': 0.11552232503890991},,,,
0.001,810,,,,,,,,,,,,,
,899,0.8715083599090576,0.9668271541595459,0.45547640323638916,0.02462184429168701,9,,,,,,,,
,899,,,,,9,0.9647576808929443,0.951733410358429,0.9800748825073242,{'loss': 0.11069699376821518},,,,
0.001,900,,,,,,,,,,,,,
,989,0.9211669564247131,0.9518458843231201,0.7885128855705261,0.017490725964307785,10,,,,,,,,
,989,,,,,10,0.9721302390098572,0.965135395526886,0.9848501682281494,{'loss': 0.08713506162166595},,,,
0.001,990,,,,,,,,,,,,,
,1079,0.9236499071121216,0.8881754875183105,0.9599287509918213,0.1700020134449005,11,,,,,,,,
