lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,145,0.8698780536651611,0.09882747381925583,0.5331355333328247,0.6728730797767639,0,,,,,,,,
,145,,,,,0,0.8621355295181274,0.14289923012256622,0.5384204387664795,{'loss': 0.7420125007629395},,,,
0.001,146,,,,,,,,,,,,,
,291,0.8410953283309937,0.21496370434761047,0.549456000328064,0.6915183067321777,1,,,,,,,,
,291,,,,,1,0.8743643164634705,0.21606485545635223,0.599465548992157,{'loss': 0.7443352937698364},,,,
0.001,292,,,,,,,,,,,,,
,437,0.8630821704864502,0.18425460159778595,0.5544015765190125,0.60761559009552,2,,,,,,,,
,437,,,,,2,0.8772771954536438,0.2554819583892822,0.6109445095062256,{'loss': 0.6278467178344727},,,,
0.001,438,,,,,,,,,,,,,
,583,0.887867271900177,0.15242880582809448,0.5242334604263306,0.6806943416595459,3,,,,,,,,
,583,,,,,3,0.8783153295516968,0.27803945541381836,0.6198824048042297,{'loss': 0.6313002109527588},,,,
0.001,584,,,,,,,,,,,,,
,729,0.9012592434883118,0.1189279705286026,0.5237388610839844,0.6629638671875,4,,,,,,,,
,729,,,,,4,0.8737338185310364,0.29363328218460083,0.6232085824012756,{'loss': 0.8247362375259399},,,,
0.001,730,,,,,,,,,,,,,
,875,0.8894663453102112,0.17699609696865082,0.5163204669952393,0.7153390049934387,5,,,,,,,,
,875,,,,,5,0.8754827380180359,0.2986019253730774,0.6264041662216187,{'loss': 0.6624727249145508},,,,
0.001,876,,,,,,,,,,,,,
,1021,0.827503502368927,0.31044110655784607,0.5593471527099609,0.6871248483657837,6,,,,,,,,
,1021,,,,,6,0.8718516230583191,0.3038161098957062,0.6306161880493164,{'loss': 0.7293803691864014},,,,
0.001,1022,,,,,,,,,,,,,
,1167,0.8019188642501831,0.36571747064590454,0.5672601461410522,0.6418827772140503,7,,,,,,,,
,1167,,,,,7,0.8742052316665649,0.31765398383140564,0.6308351159095764,{'loss': 0.7313990592956543},,,,
0.001,1168,,,,,,,,,,,,,
,1313,0.8712772130966187,0.27191513776779175,0.5024728178977966,0.7552152276039124,8,,,,,,,,
,1313,,,,,8,0.8767716884613037,0.3156033456325531,0.6278870701789856,{'loss': 0.6487690806388855},,,,
0.001,1314,,,,,,,,,,,,,
,1459,0.9144513010978699,0.18257956206798553,0.5024728178977966,0.739398717880249,9,,,,,,,,
,1459,,,,,9,0.8761308193206787,0.3210766315460205,0.6372286677360535,{'loss': 0.7125310897827148},,,,
0.001,1460,,,,,,,,,,,,,
,1605,0.8932640552520752,0.24120603501796722,0.5004945397377014,0.7735047936439514,10,,,,,,,,
,1605,,,,,10,0.8780614137649536,0.32478633522987366,0.6334686875343323,{'loss': 0.6372185945510864},,,,
0.001,1606,,,,,,,,,,,,,
,1751,0.8912652134895325,0.21775543689727783,0.5252225399017334,0.6662055850028992,11,,,,,,,,
,1751,,,,,11,0.8739630579948425,0.33828067779541016,0.6386958956718445,{'loss': 0.6628817319869995},,,,
0.001,1752,,,,,,,,,,,,,
,1897,0.8698780536651611,0.24678950011730194,0.5351137518882751,0.6691129803657532,12,,,,,,,,
,1897,,,,,12,0.8790804743766785,0.33048853278160095,0.6377927660942078,{'loss': 0.6752221584320068},,,,
,1898,,,,,13,,,,,0.8787978887557983,0.20784947276115417,0.648758590221405,0.6645787954330444
,1898,,,,,13,,,,,0.8630821704864502,0.18425460159778595,0.5544015765190125,0.60761559009552
,1898,,,,,13,,,,,0.7748579382896423,0.0456431545317173,0.640326976776123,0.4381893575191498
