lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,0.776425838470459,0.8689361214637756,0.22749999165534973,0.989130437374115,0.9281867742538452,0.5144278407096863,0.7169894576072693,0.7476850748062134,0.4978957176208496,0,,,,,,,,,,,,,,,,,,
,38,,,,,,,,,,0,0.9346528649330139,0.7699373960494995,0.34405234456062317,0.6672186255455017,0.7099283933639526,0.8433852195739746,0.7757411599159241,0.75409996509552,{'loss': 0.3743341863155365},,,,,,,,,
0.001,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,0.9969581961631775,0.8229755759239197,0.5299999713897705,1.0,0.7935367226600647,0.946466863155365,0.8648767471313477,0.8352078795433044,1.253848910331726,1,,,,,,,,,,,,,,,,,,
,77,,,,,,,,,,1,0.9573529958724976,0.8867077827453613,0.713107705116272,0.8711357712745667,0.8673072457313538,0.9205728769302368,0.8922776579856873,0.8871279358863831,{'loss': 0.30199193954467773},,,,,,,,,
0.001,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,0.9498099684715271,0.9405121207237244,0.8699999451637268,0.8487805724143982,0.8958707451820374,0.9344568848609924,0.9225353002548218,0.9299339652061462,0.45462822914123535,2,,,,,,,,,,,,,,,,,,
,116,,,,,,,,,,2,0.9648698568344116,0.9029880166053772,0.754749059677124,0.899324357509613,0.8935298919677734,0.9366816878318787,0.9103065133094788,0.9055056571960449,{'loss': 0.2722971439361572},,,,,,,,,
0.001,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,0.9733839631080627,0.9425625801086426,0.8324999809265137,0.9765396118164062,0.9353680610656738,0.9092494249343872,0.9392605423927307,0.9375256299972534,0.2892044484615326,3,,,,,,,,,,,,,,,,,,
,155,,,,,,,,,,3,0.9680987596511841,0.9213427901268005,0.8103646039962769,0.9104285836219788,0.9138883948326111,0.953071653842926,0.9270833730697632,0.924491822719574,{'loss': 0.2330344170331955},,,,,,,,,
0.001,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,0.9437261819839478,0.9366036653518677,0.7699999809265137,0.9967637658119202,0.9533213973045349,0.8322883248329163,0.9154929518699646,0.9193915128707886,0.1760111004114151,4,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,4,0.9697991609573364,0.9299641847610474,0.8212971091270447,0.9102321863174438,0.9321860671043396,0.96174156665802,0.9343448877334595,0.9322587251663208,{'loss': 0.2176758348941803},,,,,,,,,
0.001,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,233,0.9095057845115662,0.9660743474960327,0.907500147819519,0.907500147819519,0.958707332611084,0.8422712683677673,0.9212146997451782,0.9422921538352966,0.19568383693695068,5,,,,,,,,,,,,,,,,,,
,233,,,,,,,,,,5,0.9723905920982361,0.934381365776062,0.830167293548584,0.9190207123756409,0.9400449395179749,0.9655317664146423,0.9393529891967773,0.9370440244674683,{'loss': 0.18990948796272278},,,,,,,,,
0.001,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,0.8996196985244751,0.9672936201095581,0.9025000333786011,0.8298850655555725,0.9479352235794067,0.8599348664283752,0.911971926689148,0.9364303946495056,0.27461010217666626,6,,,,,,,,,,,,,,,,,,
,272,,,,,,,,,,6,0.9740191698074341,0.9425913095474243,0.8571835160255432,0.9331063032150269,0.9476151466369629,0.9671311974525452,0.9469651579856873,0.9456425309181213,{'loss': 0.1707182377576828},,,,,,,,,
0.001,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,311,0.7186312079429626,0.9833506941795349,0.9399999976158142,0.6045016646385193,0.9605026841163635,0.7764877080917358,0.8169013261795044,0.8968681693077087,0.1853201985359192,7,,,,,,,,,,,,,,,,,,
,311,,,,,,,,,,7,0.9776281118392944,0.9498950242996216,0.8749645948410034,0.9381474852561951,0.9532018899917603,0.9733809232711792,0.9535756707191467,0.9523154497146606,{'loss': 0.10260922461748123},,,,,,,,,
0.001,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,0.974144458770752,0.9296082258224487,0.9175000190734863,0.8822116255760193,0.833034098148346,0.9707112908363342,0.9295774102210999,0.9314970374107361,1.0168675184249878,8,,,,,,,,,,,,,,,,,,
,350,,,,,,,,,,8,0.9802006483078003,0.9590559005737305,0.8984843492507935,0.9492446184158325,0.9608563184738159,0.9743642807006836,0.9611378312110901,0.9605841040611267,{'loss': 0.1275387555360794},,,,,,,,,
0.001,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,389,0.990114152431488,0.8809202909469604,0.7099999785423279,0.9826989769935608,0.8438061475753784,0.9306930899620056,0.9049295783042908,0.8894888162612915,0.9151363372802734,9,,,,,,,,,,,,,,,,,,
,389,,,,,,,,,,9,0.9787970185279846,0.9626350998878479,0.9079807996749878,0.9455781579017639,0.9648404717445374,0.9756097793579102,0.962890625,0.9634037613868713,{'loss': 0.09726002812385559},,,,,,,,,
0.001,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,428,0.9809885621070862,0.9300650358200073,0.8225001096725464,0.9733728170394897,0.9102334380149841,0.9268738031387329,0.9357394576072693,0.9307054877281189,0.47562554478645325,10,,,,,,,,,,,,,,,,,,
,428,,,,,,,,,,10,0.9798287153244019,0.9617606401443481,0.9048966765403748,0.9481019973754883,0.969082772731781,0.9803231954574585,0.9639424085617065,0.9638997316360474,{'loss': 0.12340456992387772},,,,,,,,,
0.001,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,467,0.9931558966636658,0.9262410402297974,0.8400000333786011,0.9824561476707458,0.8886894583702087,0.9519230127334595,0.9405809044837952,0.9325651526451111,0.7686742544174194,11,,,,,,,,,,,,,,,,,,
,467,,,,,,,,,,11,0.9825748205184937,0.9680560827255249,0.9188193082809448,0.950660765171051,0.9720978140830994,0.9831103086471558,0.96875,0.9689134955406189,{'loss': 0.08656968176364899},,,,,,,,,
0.001,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,506,0.9558935165405273,0.9537177681922913,0.8725000023841858,0.9381719827651978,0.9371633529663086,0.8969072699546814,0.9366196990013123,0.942423939704895,0.3389033377170563,12,,,,,,,,,,,,,,,,,,
,506,,,,,,,,,,12,0.9842654466629028,0.9714993238449097,0.9355391263961792,0.9604684114456177,0.9722165465354919,0.9844847917556763,0.9727563858032227,0.9731812477111816,{'loss': 0.11827581375837326},,,,,,,,,
0.001,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
