lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,1.0,0.765726625919342,0.44687503576278687,1.0,0.6561798453330994,0.9798659086227417,0.8190789222717285,0.7791957855224609,1.4700599908828735,0,,,,,,,,,,,,,,,,,,
,30,,,,,,,,,,0,0.9262161254882812,0.8333496451377869,0.5402010083198547,0.7173498868942261,0.8011292219161987,0.8767200112342834,0.8277469277381897,0.8218159079551697,{'loss': 0.26331061124801636},,,,,,,,,
0.001,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,0.984891414642334,0.9720410704612732,0.9718750715255737,0.9510703086853027,0.92808997631073,0.9740566611289978,0.96875,0.9711709022521973,0.18299846351146698,1,,,,,,,,,,,,,,,,,,
,61,,,,,,,,,,1,0.9642235040664673,0.9027692079544067,0.732786238193512,0.8823023438453674,0.9096307754516602,0.9465340971946716,0.9100303053855896,0.9043402075767517,{'loss': 0.29930025339126587},,,,,,,,,
0.001,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,0.8460811972618103,0.9665588736534119,0.984375,0.65625,0.9101123809814453,0.9712229371070862,0.8859649300575256,0.9302726984024048,0.23329897224903107,2,,,,,,,,,,,,,,,,,,
,92,,,,,,,,,,2,0.9660130143165588,0.9194402098655701,0.780802309513092,0.8945425748825073,0.9264102578163147,0.9532981514930725,0.9237021803855896,0.9204473495483398,{'loss': 0.19735026359558105},,,,,,,,,
0.001,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,0.9707270264625549,0.9698113799095154,0.9312500357627869,0.9900332093238831,0.9595504999160767,0.9222460985183716,0.961074709892273,0.965266227722168,0.14533483982086182,3,,,,,,,,,,,,,,,,,,
,123,,,,,,,,,,3,0.9691438674926758,0.9294571280479431,0.8105301260948181,0.912868082523346,0.9391125440597534,0.9589041471481323,0.9339088201522827,0.9312897324562073,{'loss': 0.2214599847793579},,,,,,,,,
0.001,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,0.9971671104431152,0.9127053022384644,0.9437499642372131,0.9526814222335815,0.7865167856216431,1.0,0.9364033937454224,0.9309057593345642,0.9431397914886475,4,,,,,,,,,,,,,,,,,,
,154,,,,,,,,,,4,0.970946729183197,0.9331730604171753,0.8253227472305298,0.9181962609291077,0.9419621229171753,0.9642481803894043,0.9382561445236206,0.9359298348426819,{'loss': 0.1801374852657318},,,,,,,,,
0.001,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,185,0.9641171097755432,0.9632076025009155,0.9437499642372131,0.9526814222335815,0.9348315000534058,0.9306487441062927,0.953399121761322,0.9598774909973145,0.16036176681518555,5,,,,,,,,,,,,,,,,,,
,185,,,,,,,,,,5,0.9746159911155701,0.941585123538971,0.8514285683631897,0.9297971725463867,0.9483689069747925,0.9697924256324768,0.9464465379714966,0.9446868300437927,{'loss': 0.2111842930316925},,,,,,,,,
0.001,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,216,0.9754485487937927,0.9636193513870239,0.9343749284744263,0.9867987036705017,0.9348315000534058,0.9265033006668091,0.9583333730697632,0.9611808061599731,0.20434246957302094,6,,,,,,,,,,,,,,,,,,
,216,,,,,,,,,,6,0.9783530831336975,0.9512428045272827,0.8712906837463379,0.9373077750205994,0.9616175889968872,0.9779931306838989,0.9553931951522827,0.9537944793701172,{'loss': 0.1711309850215912},,,,,,,,,
0.001,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,247,0.9593955278396606,0.9703916311264038,0.9781250357627869,0.8942857384681702,0.9213484525680542,0.9601873755455017,0.953399121761322,0.9635695815086365,0.2807043194770813,7,,,,,,,,,,,,,,,,,,
,247,,,,,,,,,,7,0.9781731367111206,0.9534091949462891,0.8745545744895935,0.9330797791481018,0.9692544341087341,0.984899640083313,0.9576612114906311,0.9563966989517212,{'loss': 0.11418908834457397},,,,,,,,,
0.001,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,278,0.9933900237083435,0.9651375412940979,0.9625000357627869,0.9565218687057495,0.9056178331375122,0.978155255317688,0.9665570259094238,0.9660000205039978,0.39296141266822815,8,,,,,,,,,,,,,,,,,,
,278,,,,,,,,,,8,0.9803837537765503,0.9620361328125,0.8966750502586365,0.9449886679649353,0.97409588098526,0.9821566939353943,0.9640876054763794,0.9635347723960876,{'loss': 0.13025371730327606},,,,,,,,,
0.001,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,309,0.9650613069534302,0.9687203764915466,0.9156250357627869,0.9669967293739319,0.937078595161438,0.8948497772216797,0.9495614767074585,0.9554076194763184,0.2889479994773865,9,,,,,,,,,,,,,,,,,,
,309,,,,,,,,,,9,0.9843119978904724,0.9721326231956482,0.924453854560852,0.9602082967758179,0.9805127382278442,0.9832862615585327,0.972845196723938,0.97282874584198,{'loss': 0.08017636835575104},,,,,,,,,
0.001,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,340,0.9905571341514587,0.9458971619606018,0.9593749642372131,0.9219218492507935,0.8539324998855591,0.9947643876075745,0.9517544507980347,0.9511160254478455,0.8326364159584045,10,,,,,,,,,,,,,,,,,,
,340,,,,,,,,,,10,0.9845467209815979,0.9731096625328064,0.9254480004310608,0.9570051431655884,0.9807347059249878,0.9847820997238159,0.9732232689857483,0.9732546806335449,{'loss': 0.05244528502225876},,,,,,,,,
0.001,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371,0.9518413543701172,0.959086537361145,0.953125,0.8689459562301636,0.9078651070594788,0.9573459625244141,0.9413376450538635,0.9521641135215759,0.37847664952278137,11,,,,,,,,,,,,,,,,,,
,371,,,,,,,,,,11,0.9866160154342651,0.9804282188415527,0.9463902115821838,0.964663028717041,0.9855818748474121,0.98685222864151,0.9792717695236206,0.9799710512161255,{'loss': 0.06100097671151161},,,,,,,,,
