lr-AdamW,step,train_loss,epoch,val_loss_step,val_loss_epoch
0.0005,0,,,,
,0,6.558110237121582,0,,
,1,7.621055603027344,0,,
,2,6.129244804382324,0,,
,3,5.6672821044921875,0,,
,4,5.511712074279785,0,,
,5,5.447207450866699,0,,
,6,5.235465049743652,0,,
,7,5.108152389526367,0,,
,8,5.009281158447266,0,,
,9,4.889984130859375,0,,
,10,4.879056930541992,0,,
,11,4.673145294189453,0,,
,12,4.63075065612793,0,,
,13,4.738256454467773,0,,
,14,4.568643569946289,0,,
,15,4.493196487426758,0,,
,16,4.465999603271484,0,,
,17,4.427063941955566,0,,
,18,4.242453575134277,0,,
,19,4.2120680809021,0,,
,20,4.191020488739014,0,,
,21,4.098373889923096,0,,
,22,3.9644548892974854,0,,
,23,3.9675800800323486,0,,
,24,3.831453323364258,0,,
,0,,,5.294894218444824,
,1,,,5.338074207305908,
,2,,,5.169238090515137,
,3,,,5.087160110473633,
,4,,,5.246512413024902,
,5,,,5.233623504638672,
,6,,,4.494051933288574,
,24,,0,,5.177145004272461
0.0004999996977434274,25,,,,
,25,3.8013134002685547,1,,
,26,3.688871145248413,1,,
,27,3.5112407207489014,1,,
,28,3.5765528678894043,1,,
,29,3.523189067840576,1,,
,30,3.4397835731506348,1,,
,31,3.458439826965332,1,,
,32,3.466686248779297,1,,
,33,3.4705889225006104,1,,
,34,3.367474317550659,1,,
,35,3.215069532394409,1,,
,36,3.2415196895599365,1,,
,37,3.094259738922119,1,,
,38,3.0980048179626465,1,,
,39,3.053365468978882,1,,
,40,3.003739595413208,1,,
,41,2.9156689643859863,1,,
,42,2.9638173580169678,1,,
,43,2.8434760570526123,1,,
,44,2.7308855056762695,1,,
,45,2.7117104530334473,1,,
,46,2.563371181488037,1,,
,47,2.4978137016296387,1,,
,48,2.4338083267211914,1,,
,49,2.4762327671051025,1,,
,7,,,5.198151588439941,
,8,,,5.332858085632324,
,9,,,5.012960433959961,
,10,,,5.149130344390869,
,11,,,4.838376998901367,
,12,,,4.563482284545898,
,13,,,3.8611345291137695,
,49,,1,,4.935451984405518
0.0004999987909744553,50,,,,
,50,2.428884983062744,2,,
,51,2.317690849304199,2,,
,52,2.2258691787719727,2,,
,53,2.103410243988037,2,,
,54,2.1030139923095703,2,,
,55,1.9799894094467163,2,,
,56,1.959268569946289,2,,
,57,1.9994707107543945,2,,
,58,1.8801746368408203,2,,
,59,1.8115192651748657,2,,
,60,1.8331103324890137,2,,
,61,1.8017761707305908,2,,
,62,1.636318564414978,2,,
,63,1.5752606391906738,2,,
,64,1.526843547821045,2,,
,65,1.5202209949493408,2,,
,66,1.5015698671340942,2,,
,67,1.452531099319458,2,,
,68,1.426631212234497,2,,
,69,1.3010995388031006,2,,
,70,1.3400039672851562,2,,
,71,1.283181071281433,2,,
,72,1.295091986656189,2,,
,73,1.1784217357635498,2,,
,74,1.1749074459075928,2,,
,14,,,2.0547289848327637,
,15,,,2.1496243476867676,
,16,,,2.0717742443084717,
,17,,,2.193429470062256,
,18,,,1.929025411605835,
,19,,,1.9287713766098022,
,20,,,1.470351219177246,
,74,,2,,2.0138940811157227
0.0004999972796953211,75,,,,
,75,1.1315275430679321,3,,
,76,1.0541822910308838,3,,
,77,1.1274747848510742,3,,
,78,1.1010563373565674,3,,
,79,1.02705717086792,3,,
,80,1.1371514797210693,3,,
,81,1.033292531967163,3,,
,82,1.0521135330200195,3,,
,83,1.0129568576812744,3,,
,84,0.97950679063797,3,,
,85,0.8795066475868225,3,,
,86,0.9963865280151367,3,,
,87,0.8768930435180664,3,,
,88,0.8317500352859497,3,,
,89,0.8822135925292969,3,,
,90,1.0364913940429688,3,,
,91,0.9839062690734863,3,,
,92,0.849894642829895,3,,
,93,0.8307973146438599,3,,
,94,0.795623242855072,3,,
,95,0.7502224445343018,3,,
,96,0.7258751392364502,3,,
,97,0.7489935159683228,3,,
,98,0.723543643951416,3,,
,99,0.669288158416748,3,,
,21,,,1.280466079711914,
,22,,,1.4309256076812744,
,23,,,1.2302372455596924,
,24,,,1.3002045154571533,
,25,,,1.2571057081222534,
,26,,,1.4690213203430176,
,27,,,0.9016071557998657,
,99,,3,,1.2983137369155884
0.0004999951639097536,100,,,,
,100,0.6425207853317261,4,,
,101,0.7024506330490112,4,,
,102,0.6848422288894653,4,,
,103,0.6442712545394897,4,,
,104,0.611293613910675,4,,
,105,0.6179136037826538,4,,
,106,0.618439257144928,4,,
,107,0.5666646957397461,4,,
,108,0.5440795421600342,4,,
,109,0.564708948135376,4,,
,110,0.5233961343765259,4,,
,111,0.5900254249572754,4,,
,112,0.5434020757675171,4,,
,113,0.4971303343772888,4,,
,114,0.5379894375801086,4,,
,115,0.5171935558319092,4,,
,116,0.4914654791355133,4,,
,117,0.47056323289871216,4,,
,118,0.5163602828979492,4,,
,119,0.49750733375549316,4,,
,120,0.4273166060447693,4,,
,121,0.4475749731063843,4,,
,122,0.4125734269618988,4,,
,123,0.4731929302215576,4,,
,124,0.4048166275024414,4,,
,28,,,0.7762336730957031,
,29,,,0.9237560629844666,
,30,,,0.6785006523132324,
,31,,,0.7331162095069885,
,32,,,0.6450074315071106,
,33,,,0.7636315822601318,
,34,,,0.49829530715942383,
,124,,4,,0.7356189489364624
0.0004999924436229736,125,,,,
,125,0.4053855836391449,5,,
,126,0.4269527792930603,5,,
,127,0.4303143322467804,5,,
,128,0.38247600197792053,5,,
,129,0.42775604128837585,5,,
,130,0.35610905289649963,5,,
,131,0.38714224100112915,5,,
,132,0.41361814737319946,5,,
,133,0.3759145438671112,5,,
,134,0.35969164967536926,5,,
,135,0.3970843553543091,5,,
,136,0.3437774181365967,5,,
,137,0.38358819484710693,5,,
,138,0.3577249348163605,5,,
,139,0.3281975984573364,5,,
,140,0.30879873037338257,5,,
,141,0.33557868003845215,5,,
,142,0.3308057188987732,5,,
,143,0.34512388706207275,5,,
,144,0.30851733684539795,5,,
,145,0.3174608647823334,5,,
,146,0.3070981204509735,5,,
,147,0.3141355812549591,5,,
,148,0.3056184649467468,5,,
,149,0.2877628803253174,5,,
,35,,,0.565550684928894,
,36,,,0.6956623196601868,
,37,,,0.5174123048782349,
,38,,,0.56836998462677,
,39,,,0.5182380676269531,
,40,,,0.7412875890731812,
,41,,,0.4293624758720398,
,149,,5,,0.589133620262146
0.0004999891188416928,150,,,,
,150,0.3010082244873047,6,,
,151,0.2584892809391022,6,,
,152,0.2571033537387848,6,,
,153,0.29602572321891785,6,,
,154,0.2642262578010559,6,,
,155,0.2803206443786621,6,,
,156,0.2832859754562378,6,,
,157,0.2670136094093323,6,,
,158,0.27502453327178955,6,,
,159,0.24489568173885345,6,,
,160,0.2641669511795044,6,,
,161,0.2805311679840088,6,,
,162,0.2337666153907776,6,,
,163,0.2497786283493042,6,,
,164,0.3124508261680603,6,,
,165,0.24921055138111115,6,,
,166,0.26245883107185364,6,,
,167,0.245010107755661,6,,
,168,0.22398167848587036,6,,
,169,0.26453888416290283,6,,
,170,0.2416125386953354,6,,
,171,0.2699444890022278,6,,
,172,0.22543776035308838,6,,
,173,0.23627176880836487,6,,
,174,0.25920894742012024,6,,
,42,,,0.39256948232650757,
,43,,,0.4377267062664032,
,44,,,0.303774893283844,
,45,,,0.32074397802352905,
,46,,,0.3397437334060669,
,47,,,0.5097583532333374,
,48,,,0.3014830946922302,
,174,,6,,0.3783054053783417
0.000499985189574115,175,,,,
,175,0.21028898656368256,7,,
,176,0.2124267965555191,7,,
,177,0.21443787217140198,7,,
,178,0.2522105872631073,7,,
,179,0.20745331048965454,7,,
,180,0.22947460412979126,7,,
,181,0.23377497494220734,7,,
,182,0.21287211775779724,7,,
,183,0.219080850481987,7,,
,184,0.20965516567230225,7,,
,185,0.1907961070537567,7,,
,186,0.19564220309257507,7,,
,187,0.19358816742897034,7,,
,188,0.19627919793128967,7,,
,189,0.17617225646972656,7,,
,190,0.21749240159988403,7,,
,191,0.17221477627754211,7,,
,192,0.1977652907371521,7,,
,193,0.18744486570358276,7,,
,194,0.18099313974380493,7,,
,195,0.1845228672027588,7,,
,196,0.19625172019004822,7,,
,197,0.18963930010795593,7,,
,198,0.20434147119522095,7,,
,199,0.17385822534561157,7,,
,49,,,0.5468984246253967,
,50,,,0.6217329502105713,
,51,,,0.40284210443496704,
,52,,,0.43388569355010986,
,53,,,0.4997546672821045,
,54,,,0.7064875960350037,
,55,,,0.34707632660865784,
,199,,7,,0.5221675038337708
0.0004999806558299351,200,,,,
,200,0.19190707802772522,8,,
,201,0.19791793823242188,8,,
,202,0.16360345482826233,8,,
,203,0.17152419686317444,8,,
,204,0.18760043382644653,8,,
,205,0.1907159984111786,8,,
,206,0.18949554860591888,8,,
,207,0.20321044325828552,8,,
,208,0.16745159029960632,8,,
,209,0.1913314014673233,8,,
,210,0.1700703501701355,8,,
,211,0.17243844270706177,8,,
,212,0.16321218013763428,8,,
,213,0.14978864789009094,8,,
,214,0.15329810976982117,8,,
,215,0.1636689007282257,8,,
,216,0.18775561451911926,8,,
,217,0.16219612956047058,8,,
,218,0.15467558801174164,8,,
,219,0.13735124468803406,8,,
,220,0.15849289298057556,8,,
,221,0.14658483862876892,8,,
,222,0.1511738896369934,8,,
,223,0.15362107753753662,8,,
,224,0.14841124415397644,8,,
,56,,,0.3124101459980011,
,57,,,0.3919880986213684,
,58,,,0.20819219946861267,
,59,,,0.2367883026599884,
,60,,,0.27927064895629883,
,61,,,0.47555461525917053,
,62,,,0.2361142933368683,
,224,,8,,0.31171151995658875
0.0004999755176203398,225,,,,
,225,0.14095784723758698,9,,
,226,0.12722846865653992,9,,
,227,0.15193024277687073,9,,
,228,0.17341209948062897,9,,
,229,0.13092517852783203,9,,
,230,0.13534781336784363,9,,
,231,0.13274401426315308,9,,
,232,0.129909947514534,9,,
,233,0.13108456134796143,9,,
,234,0.1316797435283661,9,,
,235,0.1339680254459381,9,,
,236,0.14825986325740814,9,,
,237,0.14124614000320435,9,,
,238,0.1358540654182434,9,,
,239,0.11468154191970825,9,,
,240,0.1355840563774109,9,,
,241,0.12558886408805847,9,,
,242,0.11766506731510162,9,,
,243,0.12940791249275208,9,,
,244,0.14034225046634674,9,,
,245,0.13933014869689941,9,,
,246,0.11833906173706055,9,,
,247,0.12024318426847458,9,,
,248,0.12901008129119873,9,,
,249,0.13041280210018158,9,,
,63,,,0.3106748163700104,
,64,,,0.35688042640686035,
,65,,,0.20922687649726868,
,66,,,0.21305546164512634,
,67,,,0.2731189727783203,
,68,,,0.3919234275817871,
,69,,,0.225330650806427,
,249,,9,,0.2878059148788452
0.000499969774958007,250,,,,
,250,0.12855584919452667,10,,
,251,0.13551869988441467,10,,
,252,0.11937253177165985,10,,
,253,0.13400185108184814,10,,
,254,0.12739035487174988,10,,
,255,0.120238296687603,10,,
,256,0.13220174610614777,10,,
,257,0.10964898765087128,10,,
,258,0.11300185322761536,10,,
,259,0.13955345749855042,10,,
,260,0.1253947615623474,10,,
,261,0.12742911279201508,10,,
,262,0.13279296457767487,10,,
,263,0.10851352661848068,10,,
,264,0.11092081665992737,10,,
,265,0.10831956565380096,10,,
,266,0.12222788482904434,10,,
,267,0.1096949502825737,10,,
,268,0.11232708394527435,10,,
,269,0.11528417468070984,10,,
,270,0.12647798657417297,10,,
,271,0.10578911751508713,10,,
,272,0.09790880978107452,10,,
,273,0.10073680430650711,10,,
,274,0.1208074614405632,10,,
,70,,,0.259556382894516,
,71,,,0.31548866629600525,
,72,,,0.16575391590595245,
,73,,,0.17243961989879608,
,74,,,0.24201816320419312,
,75,,,0.34042835235595703,
,76,,,0.2031600922346115,
,274,,10,,0.2460705041885376
0.0004999634278571063,275,,,,
,275,0.10011875629425049,11,,
,276,0.1164623498916626,11,,
,277,0.11213713884353638,11,,
,278,0.0979236513376236,11,,
,279,0.10925058275461197,11,,
,280,0.10685428977012634,11,,
,281,0.08869762718677521,11,,
,282,0.11310184746980667,11,,
,283,0.0996064618229866,11,,
,284,0.07988482713699341,11,,
,285,0.11021661758422852,11,,
,286,0.10197250545024872,11,,
,287,0.09497480094432831,11,,
,288,0.10202303528785706,11,,
,289,0.09651052951812744,11,,
,290,0.09105437994003296,11,,
,291,0.11425109952688217,11,,
,292,0.08874796330928802,11,,
,293,0.08319371938705444,11,,
,294,0.10279973596334457,11,,
,295,0.0938076376914978,11,,
,296,0.0859530121088028,11,,
,297,0.11447760462760925,11,,
,298,0.08856721967458725,11,,
,299,0.09326070547103882,11,,
,77,,,0.2181941419839859,
,78,,,0.2587459683418274,
,79,,,0.16240212321281433,
,80,,,0.17689348757266998,
,81,,,0.20824706554412842,
,82,,,0.30726492404937744,
,83,,,0.18106117844581604,
,299,,11,,0.21911124885082245
0.0004999564763332983,300,,,,
,300,0.09060268104076385,12,,
,301,0.09646370261907578,12,,
,302,0.0914229154586792,12,,
,303,0.09780079126358032,12,,
,304,0.10114322602748871,12,,
,305,0.0973057895898819,12,,
,306,0.09263850748538971,12,,
,307,0.0942716971039772,12,,
,308,0.08870678395032883,12,,
,309,0.09120465815067291,12,,
,310,0.11441686004400253,12,,
,311,0.09543464332818985,12,,
,312,0.10027085244655609,12,,
,313,0.0914888083934784,12,,
,314,0.08887817710638046,12,,
,315,0.1022728830575943,12,,
,316,0.10280521214008331,12,,
,317,0.10759562253952026,12,,
,318,0.08804646134376526,12,,
,319,0.08647745847702026,12,,
,320,0.09389932453632355,12,,
,321,0.08591170608997345,12,,
,322,0.09245704114437103,12,,
,323,0.0924348309636116,12,,
,324,0.08217938989400864,12,,
,84,,,0.22894445061683655,
,85,,,0.2680807411670685,
,86,,,0.1649688482284546,
,87,,,0.14801082015037537,
,88,,,0.23469918966293335,
,89,,,0.2973123788833618,
,90,,,0.19048482179641724,
,324,,12,,0.221359521150589
0.0004999489204037355,325,,,,
,325,0.08521926403045654,13,,
,326,0.08246054500341415,13,,
,327,0.08625400066375732,13,,
,328,0.08191603422164917,13,,
,329,0.080542653799057,13,,
,330,0.09893608093261719,13,,
,331,0.09642793238162994,13,,
,332,0.10262656211853027,13,,
,333,0.08922357857227325,13,,
,334,0.07921606302261353,13,,
,335,0.09107492864131927,13,,
,336,0.08535483479499817,13,,
,337,0.0759216696023941,13,,
,338,0.0953163355588913,13,,
,339,0.08705546706914902,13,,
,340,0.09433944523334503,13,,
,341,0.0876661092042923,13,,
,342,0.08371514081954956,13,,
,343,0.09361052513122559,13,,
,344,0.0801859050989151,13,,
,345,0.09615868330001831,13,,
,346,0.09354110062122345,13,,
,347,0.08856233209371567,13,,
,348,0.09539157152175903,13,,
,349,0.07729892432689667,13,,
,91,,,0.19313453137874603,
,92,,,0.24498289823532104,
,93,,,0.12873373925685883,
,94,,,0.15616221725940704,
,95,,,0.21685239672660828,
,96,,,0.3040175437927246,
,97,,,0.15959179401397705,
,349,,13,,0.2039920836687088
0.0004999407600870613,350,,,,
,350,0.08537766337394714,14,,
,351,0.0785074234008789,14,,
,352,0.07643148303031921,14,,
,353,0.06129635125398636,14,,
,354,0.0701758861541748,14,,
,355,0.07444316893815994,14,,
,356,0.08760855346918106,14,,
,357,0.08671198785305023,14,,
,358,0.07901514321565628,14,,
,359,0.07077854126691818,14,,
,360,0.08238528668880463,14,,
,361,0.07010293006896973,14,,
,362,0.07872721552848816,14,,
,363,0.07697557657957077,14,,
,364,0.08601400256156921,14,,
,365,0.08433710038661957,14,,
,366,0.06913366913795471,14,,
,367,0.07178042829036713,14,,
,368,0.0739745944738388,14,,
,369,0.07750061899423599,14,,
,370,0.07494021952152252,14,,
,371,0.07332411408424377,14,,
,372,0.07589031755924225,14,,
,373,0.07343903183937073,14,,
,374,0.07863470166921616,14,,
,98,,,0.1927151381969452,
,99,,,0.21833708882331848,
,100,,,0.1287258267402649,
,101,,,0.12413330376148224,
,102,,,0.20476897060871124,
,103,,,0.2825636565685272,
,104,,,0.2190496027469635,
,374,,14,,0.19376561045646667
0.0004999319954034103,375,,,,
,375,0.07085860520601273,15,,
,376,0.07869012653827667,15,,
,377,0.06714306771755219,15,,
,378,0.08656853437423706,15,,
,379,0.08207984268665314,15,,
,380,0.0773739367723465,15,,
,381,0.08148850500583649,15,,
,382,0.07797932624816895,15,,
,383,0.07500022649765015,15,,
,384,0.06723576039075851,15,,
,385,0.07949650287628174,15,,
,386,0.06598959863185883,15,,
,387,0.07177779823541641,15,,
,388,0.06808175146579742,15,,
,389,0.07731691002845764,15,,
,390,0.07299075275659561,15,,
,391,0.058268435299396515,15,,
,392,0.06493136286735535,15,,
,393,0.07026176154613495,15,,
,394,0.0838526040315628,15,,
,395,0.08492596447467804,15,,
,396,0.07808750122785568,15,,
,397,0.07804136723279953,15,,
