lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,89,0.5364020466804504,0.66899174451828,0.6901811361312866,0.6278708577156067,0,,,,,,,,
,89,,,,,0,0.4729849398136139,0.5372195839881897,0.729793906211853,{'loss': 0.8368096351623535},,,,
0.001,90,,,,,,,,,,,,,
,179,0.47158288955688477,0.7019657492637634,0.7478551268577576,0.5232535600662231,1,,,,,,,,
,179,,,,,1,0.5180366635322571,0.6271452903747559,0.7528005242347717,{'loss': 0.8127771615982056},,,,
0.001,180,,,,,,,,,,,,,
,269,0.508219838142395,0.7203550934791565,0.7087702751159668,0.6103742122650146,2,,,,,,,,
,269,,,,,2,0.5299158096313477,0.6402456164360046,0.7562844157218933,{'loss': 0.8174343109130859},,,,
0.001,270,,,,,,,,,,,,,
,359,0.5509628653526306,0.6899175643920898,0.724499523639679,0.5730264186859131,3,,,,,,,,
,359,,,,,3,0.5335105061531067,0.6521366238594055,0.7582263350486755,{'loss': 0.8153901100158691},,,,
0.001,360,,,,,,,,,,,,,
,449,0.5364020466804504,0.7032340168952942,0.733555793762207,0.5473531484603882,4,,,,,,,,
,449,,,,,4,0.5454143285751343,0.6497215628623962,0.7587249875068665,{'loss': 0.8479055762290955},,,,
0.001,450,,,,,,,,,,,,,
,539,0.5974636077880859,0.66899174451828,0.7230696082115173,0.5513070821762085,5,,,,,,,,
,539,,,,,5,0.5461788177490234,0.6538901329040527,0.7563107013702393,{'loss': 0.7839800119400024},,,,
0.001,540,,,,,,,,,,,,,
,629,0.6054485440254211,0.6550412178039551,0.733555793762207,0.5344983339309692,6,,,,,,,,
,629,,,,,6,0.548591673374176,0.6563794612884521,0.7583153247833252,{'loss': 0.828633189201355},,,,
0.001,630,,,,,,,,,,,,,
,719,0.6289337873458862,0.6201648712158203,0.7264060974121094,0.5436999797821045,7,,,,,,,,
,719,,,,,7,0.5525343418121338,0.6573836207389832,0.7586020827293396,{'loss': 0.745907187461853},,,,
0.001,720,,,,,,,,,,,,,
,809,0.5528417229652405,0.6918199062347412,0.7459484934806824,0.5232473611831665,8,,,,,,,,
,809,,,,,8,0.5608317255973816,0.6611889004707336,0.762876570224762,{'loss': 0.7616459727287292},,,,
0.001,810,,,,,,,,,,,,,
,899,0.5533114075660706,0.6740646958351135,0.7478551268577576,0.5061646103858948,9,,,,,,,,
,899,,,,,9,0.5563099384307861,0.6566290855407715,0.7633398175239563,{'loss': 0.7565155029296875},,,,
0.001,900,,,,,,,,,,,,,
,989,0.6387975811958313,0.6480659246444702,0.7059103846549988,0.5860978364944458,10,,,,,,,,
,989,,,,,10,0.5554571151733398,0.6658567786216736,0.7611086964607239,{'loss': 0.6673248410224915},,,,
0.001,990,,,,,,,,,,,,,
,1079,0.6604039669036865,0.6195307374000549,0.7173498272895813,0.557831883430481,11,,,,,,,,
,1079,,,,,11,0.5639474987983704,0.6645216941833496,0.7617608904838562,{'loss': 0.7172738313674927},,,,
0.001,1080,,,,,,,,,,,,,
,1169,0.5974636077880859,0.6727964282035828,0.7206863760948181,0.5549546480178833,12,,,,,,,,
,1169,,,,,12,0.5601653456687927,0.6646672487258911,0.7608202695846558,{'loss': 0.7609164714813232},,,,
0.001,1170,,,,,,,,,,,,,
,1259,0.6693283319473267,0.6341153979301453,0.7011439204216003,0.6159903407096863,13,,,,,,,,
,1259,,,,,13,0.5699336528778076,0.6632871627807617,0.7651318907737732,{'loss': 0.795543909072876},,,,
0.001,1260,,,,,,,,,,,,,
,1349,0.5448567271232605,0.6854787468910217,0.7631077170372009,0.4959120750427246,14,,,,,,,,
,1349,,,,,14,0.5662187933921814,0.6706689596176147,0.761298656463623,{'loss': 0.757685661315918},,,,
0.001,1350,,,,,,,,,,,,,
,1439,0.5058712959289551,0.7178186178207397,0.7392755150794983,0.5122687816619873,15,,,,,,,,
,1439,,,,,15,0.5669570565223694,0.6667618751525879,0.7667818069458008,{'loss': 0.7694686651229858},,,,
0.001,1440,,,,,,,,,,,,,
,1529,0.5824330449104309,0.6670894026756287,0.7435653209686279,0.5067003965377808,16,,,,,,,,
,1529,,,,,16,0.5637732744216919,0.6613386869430542,0.763689398765564,{'loss': 0.6839371919631958},,,,
0.001,1530,,,,,,,,,,,,,
,1619,0.5246594548225403,0.7228915691375732,0.7407054305076599,0.528477668762207,17,,,,,,,,
,1619,,,,,17,0.5712594389915466,0.6719486117362976,0.7647122144699097,{'loss': 0.8324689865112305},,,,
0.001,1620,,,,,,,,,,,,,
,1709,0.46876469254493713,0.714013934135437,0.7802669405937195,0.45507675409317017,18,,,,,,,,
,1709,,,,,18,0.572505533695221,0.6712328791618347,0.7628142833709717,{'loss': 0.7549495697021484},,,,
0.001,1710,,,,,,,,,,,,,
,1799,0.5786754488945007,0.695624589920044,0.6973307728767395,0.6132539510726929,19,,,,,,,,
,1799,,,,,19,0.5684334635734558,0.6735802888870239,0.7613195180892944,{'loss': 0.7047206163406372},,,,
0.001,1800,,,,,,,,,,,,,
,1889,0.5364020466804504,0.7025998830795288,0.7454718947410583,0.5076984167098999,20,,,,,,,,
,1889,,,,,20,0.5686419606208801,0.6735655069351196,0.7648645639419556,{'loss': 0.7465473413467407},,,,
0.001,1890,,,,,,,,,,,,,
,1979,0.5655237436294556,0.6842105388641357,0.7268827557563782,0.5425930619239807,21,,,,,,,,
,1979,,,,,21,0.5703944563865662,0.6771293878555298,0.765601396560669,{'loss': 0.7653548717498779},,,,
0.001,1980,,,,,,,,,,,,,
,2069,0.453264445066452,0.7710843086242676,0.7221162915229797,0.5805977582931519,22,,,,,,,,
,2069,,,,,22,0.5745717883110046,0.6737173199653625,0.7649660110473633,{'loss': 0.6862382888793945},,,,
0.001,2070,,,,,,,,,,,,,
,2159,0.4913104772567749,0.7748890519142151,0.7268827557563782,0.5496572256088257,23,,,,,,,,
,2159,,,,,23,0.5760307312011719,0.6724703907966614,0.7663500905036926,{'loss': 0.7634865045547485},,,,
0.001,2160,,,,,,,,,,,,,
,2249,0.4847346246242523,0.7596702575683594,0.7240228652954102,0.5317699313163757,24,,,,,,,,
,2249,,,,,24,0.5752513408660889,0.6766723990440369,0.7635775804519653,{'loss': 0.7270814180374146},,,,
0.001,2250,,,,,,,,,,,,,
,2339,0.50117427110672,0.7463538646697998,0.7283126711845398,0.5372893810272217,25,,,,,,,,
,2339,,,,,25,0.5709015727043152,0.6828049421310425,0.7650361657142639,{'loss': 0.7242692112922668},,,,
0.001,2340,,,,,,,,,,,,,
,2429,0.5086895227432251,0.694356381893158,0.749761700630188,0.5025088787078857,26,,,,,,,,
,2429,,,,,26,0.5777186751365662,0.678087055683136,0.7689651250839233,{'loss': 0.7364363074302673},,,,
0.001,2430,,,,,,,,,,,,,
,2519,0.6167214512825012,0.5992390513420105,0.7488083839416504,0.4786878228187561,27,,,,,,,,
,2519,,,,,27,0.573959231376648,0.6724803447723389,0.7670153975486755,{'loss': 0.6939154267311096},,,,
0.001,2520,,,,,,,,,,,,,
,2609,0.5364020466804504,0.7197209596633911,0.7283126711845398,0.5284258127212524,28,,,,,,,,
,2609,,,,,28,0.5735598206520081,0.6788414716720581,0.7656840682029724,{'loss': 0.6886913776397705},,,,
,2610,,,,,29,,,,,0.4893585443496704,0.675274670124054,0.8194279670715332,0.7417404651641846
,2610,,,,,29,,,,,0.46876469254493713,0.714013934135437,0.7802669405937195,0.45507675409317017
,2610,,,,,29,,,,,0.3295454680919647,0.38450899720191956,0.7711171507835388,0.2839856743812561
