lr-Adam,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch
0.0003,0,,,,,
,0,6.602266788482666,0.08984375,0.14296874403953552,288.93267822265625,0
,1,6.999106407165527,0.08187499642372131,0.13499999046325684,279.7825012207031,0
,2,6.1107892990112305,0.1249999925494194,0.20750001072883606,146.5035858154297,0
,3,5.906476974487305,0.13312499225139618,0.22296872735023499,114.88077545166016,0
,4,5.710188388824463,0.15546874701976776,0.27156251668930054,97.47906494140625,0
,5,5.461026191711426,0.17578125,0.31984376907348633,76.50672149658203,0
,6,5.407781600952148,0.18968749046325684,0.33421874046325684,82.39500427246094,0
,7,5.219586372375488,0.22078123688697815,0.383124977350235,72.66015625,0
,8,5.084196090698242,0.24156247079372406,0.4171874523162842,67.51828002929688,0
,9,4.877013206481934,0.26781249046325684,0.4509374797344208,58.665470123291016,0
,10,4.753434181213379,0.3076562285423279,0.50390625,54.97921371459961,0
,11,4.522089958190918,0.3037499785423279,0.5026562213897705,48.20515441894531,0
,12,4.396514892578125,0.30921873450279236,0.5193750262260437,47.424842834472656,0
,13,4.155873775482178,0.34703123569488525,0.5596874952316284,38.646873474121094,0
0.0003,14,,,,,
,14,4.1669182777404785,0.4062500298023224,0.6032812595367432,45.452659606933594,1
,15,3.8539466857910156,0.45937496423721313,0.6509374976158142,32.92234420776367,1
,16,3.733515501022339,0.4479687511920929,0.6465624570846558,32.033592224121094,1
,17,3.571596622467041,0.42671874165534973,0.6293749809265137,27.01187515258789,1
,18,3.5410268306732178,0.4542187452316284,0.6484375,28.73874855041504,1
,19,3.2571380138397217,0.49671876430511475,0.6832813024520874,21.662342071533203,1
,20,3.1018853187561035,0.5262500047683716,0.7037500143051147,18.603904724121094,1
,21,3.079974889755249,0.5517187118530273,0.7103124856948853,21.833904266357422,1
,22,2.8188467025756836,0.5987499952316284,0.7717186808586121,13.314530372619629,1
,23,2.6791677474975586,0.6379687190055847,0.7853124737739563,12.699530601501465,1
,24,2.74918794631958,0.6504687070846558,0.7704687714576721,17.784061431884766,1
,25,2.4529411792755127,0.7039061784744263,0.8171874284744263,10.706092834472656,1
,26,2.6371657848358154,0.6682811975479126,0.7701562643051147,17.397655487060547,1
,27,2.4024267196655273,0.7121874690055847,0.8001562356948853,12.694531440734863,1
0.0003,28,,,,,
,28,2.4160408973693848,0.6881250143051147,0.7724999785423279,15.73906135559082,2
,29,2.2820239067077637,0.7120312452316284,0.7901562452316284,14.163125991821289,2
,30,2.1386659145355225,0.7301561832427979,0.8006249666213989,12.484686851501465,2
,31,2.074557065963745,0.7362499833106995,0.8012499809265137,11.737500190734863,2
,32,1.954149842262268,0.7512500286102295,0.8139062523841858,10.524999618530273,2
,33,1.9580559730529785,0.7445312738418579,0.807812511920929,11.479843139648438,2
,34,1.8963899612426758,0.7521874904632568,0.8059375286102295,11.676405906677246,2
,35,1.7564131021499634,0.7751562595367432,0.8262500166893005,9.444843292236328,2
,36,1.7344424724578857,0.7737499475479126,0.817812442779541,10.507186889648438,2
,37,1.590003252029419,0.7965624928474426,0.8406250476837158,8.435468673706055,2
