lr-Adam/pg1,lr-Adam/pg2,step,train_loss,train_acc_top1,train_acc_top5,train_acc_mean_pos,epoch
0.0,0.0,0,,,,,
,,0,6.644863128662109,0.021666666492819786,0.04416666924953461,274.0165710449219,0
,,1,6.646790504455566,0.02222222089767456,0.05000000074505806,274.20166015625,0
,,2,6.58438777923584,0.025416666641831398,0.04611111059784889,267.7286071777344,0
,,3,6.667627334594727,0.01805555634200573,0.04486111178994179,276.70599365234375,0
,,4,6.680459499359131,0.019166667014360428,0.04069444537162781,276.70306396484375,0
,,5,6.656258583068848,0.01458333246409893,0.03847222402691841,275.95013427734375,0
,,6,6.684970855712891,0.022361110895872116,0.04597222059965134,280.70611572265625,0
,,7,6.66253137588501,0.016111111268401146,0.03652777895331383,276.46807861328125,0
,,8,6.640741348266602,0.015833334997296333,0.04208333045244217,272.59124755859375,0
,,9,6.688607215881348,0.01902777887880802,0.04194444790482521,280.2017822265625,0
,,10,6.630134582519531,0.024444445967674255,0.04833333194255829,274.77392578125,0
,,11,6.6024394035339355,0.01847222074866295,0.04208333417773247,270.3772277832031,0
0.00011111111111111112,0.00011111111111111112,12,,,,,
,,12,6.635161399841309,0.02472222037613392,0.048472221940755844,273.77569580078125,1
,,13,6.358035087585449,0.02500000037252903,0.06180556118488312,236.87167358398438,1
,,14,6.2834014892578125,0.033194445073604584,0.06958334147930145,211.31222534179688,1
,,15,6.142568111419678,0.021666668355464935,0.060277778655290604,186.32571411132812,1
,,16,5.913181781768799,0.042083337903022766,0.09222222864627838,155.05931091308594,1
,,17,5.871836185455322,0.039027780294418335,0.09069444984197617,147.41610717773438,1
,,18,5.8177642822265625,0.037361111491918564,0.09986111521720886,140.19764709472656,1
,,19,5.789241790771484,0.04680555313825607,0.10277778655290604,137.88931274414062,1
,,20,5.657688140869141,0.05305555835366249,0.11888888478279114,119.319580078125,1
,,21,5.62762451171875,0.060972221195697784,0.13486111164093018,116.79208374023438,1
,,22,5.571874141693115,0.05444444715976715,0.13555556535720825,109.71403503417969,1
,,23,5.44639778137207,0.06541667133569717,0.150277778506279,97.7891616821289,1
0.00022222222222222223,0.00022222222222222223,24,,,,,
,,24,5.505369186401367,0.05375000089406967,0.13708333671092987,103.88736724853516,2
,,25,5.391870021820068,0.07430555671453476,0.17777778208255768,95.3326416015625,2
,,26,5.194347381591797,0.09263889491558075,0.2279166728258133,77.06402587890625,2
,,27,5.21765661239624,0.10152778774499893,0.21569445729255676,79.53555297851562,2
,,28,5.321452617645264,0.0959722250699997,0.22263889014720917,93.32291412353516,2
,,29,5.194811820983887,0.12208333611488342,0.2559722363948822,81.26902770996094,2
,,30,5.088603973388672,0.10708334296941757,0.24708333611488342,72.20722198486328,2
,,31,4.981745719909668,0.1436111181974411,0.28763890266418457,66.72805786132812,2
,,32,4.910338401794434,0.1461111158132553,0.2980555593967438,62.76875305175781,2
,,33,4.9368181228637695,0.1433333456516266,0.2922222316265106,65.33027648925781,2
,,34,4.845304012298584,0.162222221493721,0.31736111640930176,61.41596984863281,2
,,35,4.777870178222656,0.19638888537883759,0.35333332419395447,59.90180969238281,2
0.0003333333333333334,0.0003333333333333334,36,,,,,
,,36,4.741436004638672,0.17847222089767456,0.34416666626930237,56.45930480957031,3
,,37,4.675971984863281,0.20402778685092926,0.3616666793823242,55.468196868896484,3
,,38,4.50297737121582,0.22166667878627777,0.3768056035041809,45.79319763183594,3
,,39,4.476357460021973,0.21805554628372192,0.3886111080646515,46.996665954589844,3
,,40,4.462113380432129,0.22194446623325348,0.3888888955116272,47.892364501953125,3
,,41,4.720184326171875,0.2758333683013916,0.43861111998558044,69.12833404541016,3
,,42,5.107868194580078,0.2190277874469757,0.3668055534362793,85.08680725097656,3
,,43,4.7519145011901855,0.26055556535720825,0.4054166376590729,67.51042175292969,3
,,44,4.656368732452393,0.2326388955116272,0.39027777314186096,59.516807556152344,3
,,45,4.492115497589111,0.2679166793823242,0.4355555772781372,50.4404182434082,3
,,46,4.593202590942383,0.2462500035762787,0.40611112117767334,56.71514129638672,3
,,47,4.607427597045898,0.22583332657814026,0.3790278136730194,57.40597152709961,3
0.00044444444444444447,0.00044444444444444447,48,,,,,
,,48,4.456456184387207,0.25361111760139465,0.4186111390590668,50.194862365722656,4
,,49,4.246026039123535,0.29152780771255493,0.4655555784702301,40.38541793823242,4
,,50,4.413449764251709,0.2547222375869751,0.41902780532836914,50.08652877807617,4
,,51,4.332036972045898,0.24972224235534668,0.40986111760139465,46.0131950378418,4
,,52,4.17327880859375,0.285277783870697,0.45222222805023193,40.96652603149414,4
,,53,4.057447910308838,0.3284722566604614,0.49097225069999695,36.898616790771484,4
,,54,4.011109828948975,0.29902780055999756,0.4675000309944153,34.49028015136719,4
,,55,4.231961250305176,0.30125001072883606,0.4645833373069763,47.29708480834961,4
,,56,4.1498589515686035,0.29666668176651,0.45249998569488525,41.96736145019531,4
,,57,4.044768333435059,0.29555556178092957,0.46666669845581055,37.43083190917969,4
,,58,3.8789143562316895,0.32458335161209106,0.4962500333786011,30.447917938232422,4
,,59,3.791963577270508,0.3519444167613983,0.5183333158493042,29.158750534057617,4
0.0005555555555555556,0.0005555555555555556,60,,,,,
,,60,3.713979959487915,0.356111079454422,0.5433333516120911,28.639028549194336,5
,,61,3.765432357788086,0.3459722697734833,0.5106945037841797,29.196666717529297,5
,,62,3.5410943031311035,0.4097222089767456,0.5834722518920898,26.366945266723633,5
,,63,3.606048583984375,0.38333332538604736,0.551111102104187,27.43458366394043,5
